,Stand (cm t.o.v. NAP)
2015-09-30,29.43
2015-10-01,29.43
2015-10-02,29.44
2015-10-03,29.46
2015-10-04,29.44
2015-10-05,29.44
2015-10-06,29.47
2015-10-07,29.43
2015-10-08,29.400000000000002
2015-10-09,29.400000000000002
2015-10-10,29.41
2015-10-11,29.41
2015-10-12,29.400000000000002
2015-10-13,29.400000000000002
2015-10-14,29.39
2015-10-15,29.39
2015-10-16,29.400000000000002
2015-10-17,29.41
2015-10-18,29.42
2015-10-19,29.43
2015-10-20,29.44
2015-10-21,29.45
2015-10-22,29.47
2015-10-23,29.44
2015-10-24,29.47
2015-10-25,29.45
2015-10-26,29.47
2015-10-27,29.48
2015-10-28,29.48
2015-10-29,29.46
2015-10-30,29.44
2015-10-31,29.45
2015-11-01,29.43
2015-11-02,29.44
2015-11-03,29.45
2015-11-04,29.46
2015-11-05,29.44
2015-11-06,29.44
2015-11-07,29.43
2015-11-08,29.400000000000002
2015-11-09,29.44
2015-11-10,29.42
2015-11-11,29.41
2015-11-12,29.41
2015-11-13,29.44
2015-11-14,29.41
2015-11-15,29.47
2015-11-16,29.45
2015-11-17,29.48
2015-11-18,29.47
2015-11-19,29.490000000000002
2015-11-20,29.51
2015-11-21,29.560000000000002
2015-11-22,29.52
2015-11-23,29.5
2015-11-24,29.53
2015-11-25,29.580000000000002
2015-11-26,29.55
2015-11-27,29.57
2015-11-28,29.62
2015-11-29,29.61
2015-11-30,29.59
2015-12-01,29.64
2015-12-02,29.7
2015-12-03,29.740000000000002
2015-12-04,29.8
2015-12-05,29.8
2015-12-06,29.82
2015-12-07,29.8
2015-12-08,29.82
2015-12-09,29.82
2015-12-10,29.84
2015-12-11,29.87
2015-12-12,29.88
2015-12-13,29.91
2015-12-14,29.91
2015-12-15,29.91
2015-12-16,29.92
2015-12-17,29.93
2015-12-18,29.95
2015-12-19,29.95
2015-12-20,29.97
2015-12-21,29.94
2015-12-22,29.93
2015-12-23,29.96
2015-12-24,29.96
2015-12-25,29.93
2015-12-26,29.96
2015-12-27,29.97
2015-12-28,29.95
2015-12-29,29.96
2015-12-30,29.93
2015-12-31,29.98
