,Stand (cm t.o.v. NAP)
2015-10-02,27.34
2015-10-03,27.34
2015-10-04,27.330000000000002
2015-10-05,27.330000000000002
2015-10-06,27.36
2015-10-07,27.330000000000002
2015-10-08,27.3
2015-10-09,27.3
2015-10-10,27.3
2015-10-11,27.310000000000002
2015-10-12,27.310000000000002
2015-10-13,27.3
2015-10-14,27.29
2015-10-15,27.3
2015-10-16,27.310000000000002
2015-10-17,27.34
2015-10-18,27.35
2015-10-19,27.35
2015-10-20,27.35
2015-10-21,27.35
2015-10-22,27.38
2015-10-23,27.35
2015-10-24,27.37
2015-10-25,27.35
2015-10-26,27.36
2015-10-27,27.36
2015-10-28,27.37
2015-10-29,27.34
2015-10-30,27.32
2015-10-31,27.32
2015-11-01,27.310000000000002
2015-11-02,27.32
2015-11-03,27.330000000000002
2015-11-04,27.34
2015-11-05,27.32
2015-11-06,27.330000000000002
2015-11-07,27.310000000000002
2015-11-08,27.3
2015-11-09,27.32
2015-11-10,27.32
2015-11-11,27.310000000000002
2015-11-12,27.310000000000002
2015-11-13,27.32
2015-11-14,27.3
2015-11-15,27.35
2015-11-16,27.330000000000002
2015-11-17,27.37
2015-11-18,27.36
2015-11-19,27.37
2015-11-20,27.39
2015-11-21,27.44
2015-11-22,27.41
2015-11-23,27.37
2015-11-24,27.38
2015-11-25,27.44
2015-11-26,27.44
2015-11-27,27.43
2015-11-28,27.48
2015-11-29,27.47
2015-11-30,27.47
2015-12-01,27.55
2015-12-02,27.64
2015-12-03,27.69
2015-12-04,27.75
2015-12-05,27.73
2015-12-06,27.76
2015-12-07,27.73
2015-12-08,27.73
2015-12-09,27.740000000000002
2015-12-10,27.740000000000002
2015-12-11,27.78
2015-12-12,27.8
2015-12-13,27.84
2015-12-14,27.84
2015-12-15,27.86
2015-12-16,27.86
2015-12-17,27.89
2015-12-18,27.92
2015-12-19,27.91
2015-12-20,27.93
2015-12-21,27.91
2015-12-22,27.91
2015-12-23,27.93
2015-12-24,27.92
2015-12-25,27.900000000000002
2015-12-26,27.92
2015-12-27,27.92
2015-12-28,27.900000000000002
2015-12-29,27.92
2015-12-30,27.89
2015-12-31,27.93
