,Stand (cm t.o.v. NAP)
2009-02-10,11.38
2009-02-11,11.65
2009-02-12,12.09
2009-02-13,12.23
2009-02-14,12.15
2009-02-15,12.02
2009-02-16,11.870000000000001
2009-02-17,11.8
2009-02-18,12.040000000000001
2009-02-19,12.24
2009-02-20,12.13
2009-02-21,11.93
2009-02-22,11.82
2009-02-23,11.77
2009-02-24,11.75
2009-02-25,11.700000000000001
2009-02-26,11.63
2009-02-27,11.58
2009-02-28,11.56
2009-03-01,11.51
2009-03-02,11.48
2009-03-03,11.47
2009-03-04,11.43
2009-03-05,11.43
2009-03-06,11.43
2009-03-07,11.450000000000001
2009-03-08,11.49
2009-03-09,11.48
2009-03-10,11.5
2009-03-11,11.53
2009-03-13,11.65
2009-03-14,11.69
2009-03-15,11.63
2009-03-16,11.6
2009-03-17,11.540000000000001
2009-03-18,11.49
2009-03-19,11.46
2009-03-20,11.44
2009-03-21,11.41
2009-03-22,11.370000000000001
2009-03-23,11.41
2009-03-24,11.39
2009-03-25,11.4
2009-03-26,11.450000000000001
2009-03-27,11.55
2009-03-28,11.68
2009-03-29,11.74
2009-03-30,11.85
2009-03-31,11.77
2009-04-01,11.69
2009-04-02,11.6
2009-04-03,11.55
2009-04-04,11.49
2009-04-05,11.47
2009-04-06,11.44
2009-04-07,11.42
2009-04-08,11.4
2009-04-09,11.370000000000001
2009-04-10,11.36
2009-04-11,11.34
2009-04-12,11.38
2009-04-13,11.34
2009-04-14,11.32
2009-04-15,11.3
2009-04-16,11.31
2009-04-17,11.31
2009-04-18,11.4
2009-04-19,11.59
2009-04-20,11.5
2009-04-21,11.47
2009-04-22,11.450000000000001
2009-04-23,11.38
2009-04-24,11.36
2009-04-25,11.34
2009-04-26,11.32
2009-04-27,11.35
2009-04-28,11.31
2009-04-29,11.31
2009-04-30,11.31
2009-05-01,11.31
2009-05-02,11.290000000000001
2009-05-03,11.28
2009-05-04,11.27
2009-05-05,11.26
2009-05-06,11.28
2009-05-07,11.25
2009-05-08,11.27
2009-05-09,11.23
2009-05-10,11.24
2009-05-11,11.26
2009-05-12,11.32
2009-05-13,11.4
2009-05-14,11.63
2009-05-15,11.55
2009-05-16,11.51
2009-05-17,11.49
2009-05-18,11.49
2009-05-19,11.49
2009-05-20,11.41
2009-05-21,11.38
2009-05-22,11.34
2009-05-23,11.290000000000001
2009-05-24,11.28
2009-05-25,11.28
2009-05-26,11.26
2009-05-27,11.28
2009-05-28,11.25
2009-05-29,11.24
2009-05-30,11.23
2009-05-31,11.22
2009-06-01,11.21
2009-06-02,11.22
2009-06-03,11.21
2009-06-04,11.21
2009-06-05,11.21
2009-06-06,11.200000000000001
2009-06-07,11.21
2009-06-08,11.22
2009-06-09,11.21
2009-06-10,11.200000000000001
2009-06-11,11.25
