,Stand (cm t.o.v. NAP)
2015-01-01,18.400000000000002
2015-01-02,18.41
2015-01-03,18.44
2015-01-04,18.42
2015-01-05,18.44
2015-01-06,18.45
2015-01-07,18.41
2015-01-08,18.44
2015-01-09,18.57
2015-01-10,18.66
2015-01-11,18.69
2015-01-12,18.7
2015-01-13,18.71
2015-01-14,18.73
2015-01-15,18.76
2015-01-16,18.71
2015-01-17,18.67
2015-01-18,18.67
2015-01-19,18.66
2015-01-20,18.64
2015-01-21,18.62
2015-01-22,18.580000000000002
2015-01-23,18.55
2015-01-24,18.56
2015-01-25,18.53
2015-01-26,18.62
2015-01-27,18.67
2015-01-28,18.72
2015-01-29,18.76
2015-01-30,18.740000000000002
2015-01-31,18.72
2015-02-01,18.68
2015-02-02,18.68
2015-02-03,18.72
2015-02-04,18.67
2015-02-05,18.63
2015-02-06,18.62
2015-02-07,18.580000000000002
2015-02-08,18.57
2015-02-09,18.580000000000002
2015-02-10,18.57
2015-02-11,18.59
2015-02-12,18.57
2015-02-13,18.57
2015-02-14,18.56
2015-02-15,18.53
2015-02-16,18.51
2015-02-17,18.47
2015-02-18,18.47
2015-02-19,18.490000000000002
2015-02-20,18.52
2015-02-21,18.57
2015-02-22,18.59
2015-02-23,18.67
2015-02-24,18.66
2015-02-25,18.66
2015-02-26,18.69
2015-02-27,18.740000000000002
2015-02-28,18.76
2015-03-01,18.75
2015-03-02,18.71
2015-03-03,18.69
2015-03-04,18.67
2015-03-05,18.64
2015-03-06,18.64
2015-03-07,18.64
2015-03-08,18.62
2015-03-09,18.59
2015-03-10,18.580000000000002
2015-03-11,18.56
2015-03-12,18.55
2015-03-13,18.55
2015-03-14,18.52
2015-03-15,18.51
2015-03-16,18.5
2015-03-17,18.490000000000002
2015-03-18,18.47
2015-03-19,18.47
2015-03-20,18.47
2015-03-21,18.48
2015-03-22,18.45
2015-03-23,18.48
2015-03-24,18.48
2015-03-25,18.46
2015-03-26,18.5
2015-03-27,18.47
2015-03-28,18.51
2015-03-29,18.55
2015-03-30,18.61
2015-03-31,18.73
2015-04-01,18.77
2015-04-02,18.81
2015-04-03,18.79
2015-04-04,18.76
2015-04-05,18.7
2015-04-06,18.66
2015-04-07,18.62
2015-04-08,18.61
2015-04-09,18.61
2015-04-10,18.61
2015-04-11,18.57
2015-04-12,18.54
2015-04-13,18.52
2015-04-14,18.52
2015-04-15,18.51
2015-04-16,18.490000000000002
2015-04-17,18.46
2015-04-18,18.44
2015-04-19,18.44
2015-04-20,18.42
2015-04-21,18.400000000000002
2015-04-22,18.39
2015-04-23,18.39
2015-04-24,18.38
2015-04-25,18.38
2015-04-26,18.37
2015-04-27,18.400000000000002
2015-04-28,18.400000000000002
2015-04-29,18.39
2015-04-30,18.38
2015-05-01,18.37
2015-05-02,18.36
2015-05-03,18.37
2015-05-04,18.34
2015-05-05,18.36
2015-05-06,18.330000000000002
2015-05-07,18.31
2015-05-08,18.32
2015-05-09,18.3
2015-05-10,18.29
2015-05-11,18.29
2015-05-12,18.27
2015-05-13,18.26
2015-05-14,18.26
2015-05-15,18.23
2015-05-16,18.22
2015-05-17,18.21
2015-05-18,18.23
2015-05-19,18.2
2015-05-20,18.19
2015-05-21,18.17
2015-05-22,18.17
2015-05-23,18.17
2015-05-24,18.16
2015-05-25,18.150000000000002
2015-05-26,18.13
2015-05-27,18.12
2015-05-28,18.11
2015-05-29,18.11
2015-05-30,18.11
2015-05-31,18.09
2015-06-01,18.09
2015-06-02,18.080000000000002
2015-06-03,18.06
2015-06-04,18.06
2015-06-05,18.05
2015-06-06,18.03
2015-06-07,18.02
2015-06-08,18.01
2015-06-11,17.96
2015-06-12,17.94
2015-06-13,17.93
2015-06-14,17.92
2015-06-15,17.900000000000002
2015-06-16,17.89
2015-06-17,17.88
2015-06-18,17.87
2015-06-19,17.86
2015-06-20,17.86
2015-06-21,17.86
2015-06-22,17.86
2015-06-23,17.85
2015-06-24,17.85
2015-06-25,17.84
2015-06-26,17.830000000000002
2015-06-27,17.82
2015-06-28,17.81
2015-06-29,17.8
2015-06-30,17.79
2015-07-01,17.78
2015-07-02,17.76
2015-07-03,17.75
2015-07-04,17.740000000000002
2015-07-05,17.73
2015-07-06,17.71
2015-07-07,17.71
2015-07-08,17.69
2015-07-09,17.69
2015-07-10,17.68
2015-07-11,17.67
2015-07-12,17.66
2015-07-13,17.66
2015-07-14,17.650000000000002
2015-07-15,17.66
2015-07-16,17.650000000000002
2015-07-17,17.64
2015-07-18,17.63
2015-07-19,17.63
2015-07-20,17.62
2015-07-21,17.62
2015-07-22,17.6
2015-07-23,17.6
2015-07-24,17.6
2015-07-25,17.580000000000002
2015-07-26,17.59
2015-07-27,17.580000000000002
2015-07-28,17.57
2015-07-29,17.57
2015-07-30,17.56
2015-07-31,17.56
2015-08-01,17.56
2015-08-02,17.55
2015-08-03,17.54
2015-08-04,17.54
2015-08-05,17.54
2015-08-06,17.52
2015-08-07,17.52
2015-08-08,17.51
2015-08-09,17.52
2015-08-10,17.51
2015-08-11,17.5
2015-08-12,17.5
2015-08-13,17.5
2015-08-14,17.490000000000002
2015-08-15,17.490000000000002
2015-08-16,17.52
2015-08-17,17.580000000000002
2015-08-18,17.62
2015-08-19,17.66
2015-08-20,17.68
2015-08-21,17.7
2015-08-22,17.71
2015-08-23,17.72
2015-08-24,17.71
2015-08-25,17.69
2015-08-26,17.71
2015-08-27,17.71
2015-08-28,17.71
2015-08-29,17.72
2015-08-30,17.72
2015-08-31,17.73
2015-09-01,17.71
2015-09-02,17.72
2015-09-03,17.72
2015-09-04,17.72
2015-09-05,17.72
2015-09-06,17.71
2015-09-07,17.71
2015-09-08,17.72
2015-09-09,17.72
2015-09-10,17.72
2015-09-11,17.71
2015-09-12,17.71
2015-09-13,17.72
2015-09-14,17.72
2015-09-15,17.71
2015-09-16,17.71
2015-09-17,17.7
2015-09-18,17.69
2015-09-19,17.69
2015-09-20,17.69
2015-09-21,17.71
2015-09-22,17.72
2015-09-23,17.71
2015-09-24,17.72
2015-09-25,17.740000000000002
2015-09-26,17.75
2015-09-27,17.76
2015-09-28,17.76
2015-09-29,17.77
2015-09-30,17.77
2015-10-01,17.77
2015-10-02,17.78
2015-10-03,17.77
2015-10-04,17.77
2015-10-05,17.77
2015-10-06,17.77
2015-10-07,17.76
2015-10-08,17.76
2015-10-09,17.76
2015-10-10,17.77
2015-10-11,17.76
2015-10-12,17.75
2015-10-13,17.75
2015-10-14,17.75
2015-10-15,17.75
2015-10-16,17.75
2015-10-17,17.76
2015-10-18,17.77
2015-10-19,17.78
2015-10-20,17.79
2015-10-21,17.8
2015-10-22,17.8
2015-10-23,17.81
2015-10-24,17.81
2015-10-25,17.81
2015-10-26,17.82
2015-10-27,17.830000000000002
2015-10-28,17.830000000000002
2015-10-29,17.82
2015-10-30,17.81
2015-10-31,17.82
2015-11-01,17.81
2015-11-02,17.82
2015-11-03,17.82
2015-11-04,17.82
2015-11-05,17.81
2015-11-06,17.81
2015-11-07,17.81
2015-11-08,17.81
2015-11-09,17.8
2015-11-10,17.8
2015-11-11,17.8
2015-11-12,17.8
2015-11-13,17.81
2015-11-14,17.8
2015-11-15,17.81
2015-11-16,17.82
2015-11-17,17.830000000000002
2015-11-18,17.84
2015-11-19,17.86
2015-11-20,17.89
2015-11-21,17.91
2015-11-22,17.91
2015-11-23,17.92
2015-11-24,17.94
2015-11-25,17.95
2015-11-26,17.96
2015-11-27,17.97
2015-11-28,17.97
2015-11-29,17.990000000000002
2015-11-30,18.01
2015-12-01,18.09
2015-12-02,18.19
2015-12-03,18.26
2015-12-04,18.27
2015-12-05,18.3
2015-12-06,18.32
2015-12-07,18.3
2015-12-08,18.31
2015-12-09,18.27
2015-12-10,18.31
2015-12-11,18.31
2015-12-12,18.34
2015-12-13,18.330000000000002
2015-12-14,18.36
2015-12-15,18.35
2015-12-16,18.34
2015-12-17,18.37
2015-12-18,18.37
2015-12-19,18.38
2015-12-20,18.37
2015-12-21,18.34
2015-12-22,18.34
2015-12-23,18.31
2015-12-24,18.35
2015-12-25,18.31
2015-12-26,18.32
2015-12-27,18.31
2015-12-28,18.31
2015-12-29,18.3
2015-12-30,18.3
2015-12-31,18.28
