,Stand (cm t.o.v. NAP)
2015-01-01,27.580000000000002
2015-01-02,27.580000000000002
2015-01-03,27.580000000000002
2015-01-04,27.68
2015-01-05,27.63
2015-01-06,27.6
2015-01-07,27.560000000000002
2015-01-08,27.560000000000002
2015-01-09,27.76
2015-01-10,27.85
2015-01-11,27.82
2015-01-12,27.71
2015-01-13,27.67
2015-01-14,27.85
2015-01-15,27.76
2015-01-16,27.740000000000002
2015-01-17,27.68
2015-01-18,27.64
2015-01-19,27.61
2015-01-20,27.59
2015-01-21,27.57
2015-01-22,27.560000000000002
2015-01-23,27.54
2015-01-24,27.55
2015-01-25,27.54
2015-01-26,27.68
2015-01-27,27.69
2015-01-28,27.67
2015-01-29,27.73
2015-01-30,27.71
2015-01-31,27.68
2015-02-01,27.62
2015-02-02,27.62
2015-02-03,27.62
2015-02-04,27.580000000000002
2015-02-05,27.560000000000002
2015-02-06,27.54
2015-02-07,27.53
2015-02-08,27.54
2015-02-09,27.52
2015-02-10,27.53
2015-02-11,27.53
2015-02-12,27.52
2015-02-13,27.52
2015-02-14,27.53
2015-02-15,27.51
2015-02-16,27.490000000000002
2015-02-17,27.46
2015-02-18,27.43
2015-02-19,27.45
2015-02-20,27.48
2015-02-21,27.560000000000002
2015-02-22,27.55
2015-02-23,27.59
2015-02-24,27.6
2015-02-25,27.59
2015-02-26,27.57
2015-02-27,27.68
2015-02-28,27.61
2015-03-01,27.6
2015-03-02,27.57
2015-03-03,27.560000000000002
2015-03-04,27.59
2015-03-05,27.55
2015-03-06,27.54
2015-03-07,27.53
2015-03-08,27.54
2015-03-09,27.52
2015-03-10,27.51
2015-03-11,27.5
2015-03-12,27.490000000000002
2015-03-13,27.490000000000002
2015-03-14,27.47
2015-03-15,27.46
2015-03-16,27.45
2015-03-17,27.43
2015-03-18,27.41
2015-03-19,27.400000000000002
2015-03-20,27.39
2015-03-21,27.400000000000002
2015-03-22,27.39
2015-03-23,27.39
2015-03-24,27.39
2015-03-25,27.400000000000002
2015-03-26,27.45
2015-03-27,27.45
2015-03-28,27.42
2015-03-29,27.48
2015-03-30,27.55
2015-03-31,27.72
2015-04-01,27.62
2015-04-02,27.62
2015-04-03,27.59
2015-04-04,27.560000000000002
2015-04-05,27.54
2015-04-06,27.52
2015-04-07,27.5
2015-04-08,27.490000000000002
2015-04-09,27.490000000000002
2015-04-10,27.48
2015-04-11,27.46
2015-04-12,27.41
2015-04-13,27.38
2015-04-14,27.37
2015-04-15,27.35
2015-04-16,27.330000000000002
2015-04-17,27.310000000000002
2015-04-18,27.26
2015-04-19,27.25
2015-04-20,27.22
2015-04-21,27.19
2015-04-22,27.16
2015-04-23,27.17
2015-04-24,27.16
2015-04-25,27.150000000000002
2015-04-26,27.150000000000002
2015-04-27,27.19
2015-04-28,27.18
2015-04-29,27.150000000000002
2015-04-30,27.150000000000002
2015-05-01,27.14
2015-05-02,27.12
2015-05-03,27.13
2015-05-04,27.14
2015-05-05,27.21
2015-05-06,27.17
2015-05-07,27.150000000000002
2015-05-08,27.14
2015-05-09,27.12
2015-05-10,27.07
2015-05-11,27.07
2015-05-12,27.060000000000002
2015-05-13,27.03
2015-05-14,27.01
2015-05-15,26.990000000000002
2015-05-16,26.94
2015-05-17,26.93
2015-05-18,26.94
2015-05-19,26.94
2015-05-20,26.92
2015-05-21,26.89
2015-05-22,26.830000000000002
2015-05-23,26.79
2015-05-24,26.740000000000002
2015-05-25,26.71
2015-05-26,26.7
2015-05-27,26.71
2015-05-28,26.68
2015-05-29,26.73
2015-05-30,26.740000000000002
2015-05-31,26.75
2015-06-01,26.76
2015-06-02,26.78
2015-06-03,26.76
2015-06-04,26.72
2015-06-05,26.68
2015-06-06,26.63
2015-06-07,26.6
2015-06-08,26.580000000000002
2015-06-09,26.54
2015-06-10,26.53
2015-06-11,26.44
2015-06-12,26.41
2015-06-13,26.39
2015-06-14,26.42
2015-06-15,26.400000000000002
2015-06-16,26.39
2015-06-17,26.35
2015-06-18,26.37
2015-06-19,26.38
2015-06-20,26.41
2015-06-21,26.400000000000002
2015-06-22,26.43
2015-06-23,26.51
2015-06-24,26.55
2015-06-25,26.580000000000002
2015-06-26,26.59
2015-06-27,26.57
2015-06-28,26.52
2015-06-29,26.41
2015-06-30,26.3
2015-07-01,26.23
2015-07-02,26.16
2015-07-03,26.04
2015-07-04,26.0
2015-07-05,25.91
2015-07-06,25.91
2015-07-07,25.92
2015-07-08,25.86
2015-07-09,25.98
2015-07-10,25.98
2015-07-11,25.94
2015-07-12,25.87
2015-07-13,25.88
2015-07-14,25.91
2015-07-15,25.990000000000002
2015-07-16,25.86
2015-07-17,25.84
2015-07-18,25.85
2015-07-19,25.87
2015-07-20,25.94
2015-07-21,26.04
2015-07-22,26.11
2015-07-23,26.14
2015-07-24,26.16
2015-07-25,26.2
2015-07-26,26.21
2015-07-27,26.29
2015-07-28,26.29
2015-07-29,26.3
2015-07-30,26.26
2015-07-31,26.19
2015-08-01,26.14
2015-08-02,25.97
2015-08-03,25.93
2015-08-04,25.88
2015-08-05,25.830000000000002
2015-08-06,25.86
2015-08-07,25.82
2015-08-08,25.88
2015-08-09,25.95
2015-08-10,26.02
2015-08-11,26.05
2015-08-12,26.07
2015-08-13,26.05
2015-08-14,26.05
2015-08-15,26.07
2015-08-16,26.12
2015-08-17,26.22
2015-08-18,26.28
2015-08-19,26.310000000000002
2015-08-20,26.34
2015-08-21,26.35
2015-08-22,26.37
2015-08-23,26.400000000000002
2015-08-24,26.42
2015-08-25,26.400000000000002
2015-08-26,26.42
2015-08-27,26.43
2015-08-28,26.44
2015-08-29,26.45
2015-08-30,26.47
2015-08-31,26.490000000000002
2015-09-01,26.48
2015-09-02,26.47
2015-09-03,26.490000000000002
2015-09-04,26.5
2015-09-05,26.5
2015-09-06,26.490000000000002
2015-09-07,26.490000000000002
2015-09-08,26.5
2015-09-09,26.51
2015-09-10,26.490000000000002
2015-09-11,26.5
2015-09-12,26.51
2015-09-13,26.5
2015-09-14,26.52
2015-09-15,26.5
2015-09-16,26.52
2015-09-17,26.51
2015-09-18,26.48
2015-09-19,26.48
2015-09-20,26.490000000000002
2015-09-21,26.51
2015-09-22,26.54
2015-09-23,26.53
2015-09-24,26.52
2015-09-25,26.52
2015-09-26,26.52
2015-09-27,26.52
2015-09-28,26.52
2015-09-29,26.52
2015-09-30,26.52
2015-10-01,26.53
2015-10-02,26.53
2015-10-03,26.54
2015-10-04,26.53
2015-10-05,26.53
2015-10-06,26.54
2015-10-07,26.51
2015-10-08,26.5
2015-10-09,26.5
2015-10-10,26.5
2015-10-11,26.51
2015-10-12,26.5
2015-10-13,26.5
2015-10-14,26.5
2015-10-15,26.5
2015-10-16,26.51
2015-10-17,26.53
2015-10-18,26.54
2015-10-19,26.54
2015-10-20,26.55
2015-10-21,26.560000000000002
2015-10-22,26.57
2015-10-23,26.54
2015-10-24,26.560000000000002
2015-10-25,26.55
2015-10-26,26.57
2015-10-27,26.57
2015-10-28,26.57
2015-10-29,26.560000000000002
2015-10-30,26.54
2015-10-31,26.55
2015-11-01,26.54
2015-11-02,26.55
2015-11-03,26.560000000000002
2015-11-04,26.560000000000002
2015-11-05,26.54
2015-11-06,26.54
2015-11-07,26.53
2015-11-08,26.52
2015-11-09,26.54
2015-11-10,26.54
2015-11-11,26.54
2015-11-12,26.53
2015-11-13,26.54
2015-11-14,26.52
2015-11-15,26.57
2015-11-16,26.55
2015-11-17,26.580000000000002
2015-11-18,26.560000000000002
2015-11-19,26.580000000000002
2015-11-20,26.6
2015-11-21,26.64
2015-11-22,26.61
2015-11-23,26.59
2015-11-24,26.61
2015-11-25,26.64
2015-11-26,26.62
2015-11-27,26.63
2015-11-28,26.650000000000002
2015-11-29,26.66
2015-11-30,26.66
2015-12-01,26.72
2015-12-02,26.86
2015-12-03,26.93
2015-12-04,26.96
2015-12-05,26.98
2015-12-06,27.0
2015-12-07,26.98
2015-12-08,26.98
2015-12-09,26.97
2015-12-10,26.990000000000002
2015-12-11,27.02
2015-12-12,27.07
2015-12-13,27.11
2015-12-14,27.14
2015-12-15,27.14
2015-12-16,27.14
2015-12-17,27.22
2015-12-18,27.25
2015-12-19,27.240000000000002
2015-12-20,27.240000000000002
2015-12-21,27.23
2015-12-22,27.27
2015-12-23,27.29
2015-12-24,27.28
2015-12-25,27.25
2015-12-26,27.27
2015-12-27,27.25
2015-12-28,27.22
2015-12-29,27.22
2015-12-30,27.19
2015-12-31,27.2
